source_id,x_ref,y_ref,filename,flux,flux_err,mag,mag_err,snr,sky_bkg,temporal_snr
80,586.172221,384.419070,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6980.223618,87.622658,-9.609673,0.013629,79.662313,8.880930,21.288307
90,728.666796,429.458096,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2139.437243,53.825820,-8.325749,0.027315,39.747415,9.648376,10.620118
91,512.694747,435.306667,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,181801.221581,429.482721,-13.148992,0.002565,423.302761,33.794141,34.902970
93,678.107698,437.830830,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,12211.100247,115.426670,-10.216887,0.010263,105.790978,14.161171,32.134652
94,994.323599,440.576177,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,121599.890492,351.776654,-12.712333,0.003141,345.673567,27.335480,32.964149
96,587.876644,442.248962,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3602.105672,61.611736,-8.891391,0.018570,58.464602,2.468816,13.806497
97,844.084918,443.403811,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,36697.384889,193.886678,-11.411588,0.005736,189.272338,11.391153,35.039058
98,469.303013,443.346165,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2678.393073,58.835296,-8.569686,0.023849,45.523576,9.971999,12.154679
99,689.246302,446.742537,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,35519.575180,191.948035,-11.376169,0.005867,185.047870,16.863716,35.945976
100,701.171630,458.045416,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4456.477432,73.676612,-9.122479,0.017949,60.487003,12.372905,16.510437
103,502.408226,462.164632,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,51411.729096,230.154291,-11.777656,0.004860,223.379407,19.853224,35.334207
104,624.225783,467.795881,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5959.756509,80.648492,-9.438071,0.014692,73.897929,6.931806,22.144198
105,842.598499,467.433752,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,67304.870499,262.222421,-12.070116,0.004230,256.670922,18.534896,33.198749
106,959.025472,467.798575,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,35192.905168,190.110383,-11.366138,0.005865,185.118270,12.083712,35.941031
109,728.594648,506.717854,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,13613.550144,119.141381,-10.334928,0.009502,114.263827,7.399031,29.999679
